App Name,Usage Time (mins),Topic Keywords,Engagement Level,Device,Time of Day,Previous Question Answered,Suggested Question
Instagram,28,Cybersecurity,High,Smartphone,Night,Yes,How do you prevent phishing attacks?
YouTube,58,Cybersecurity,Medium,Desktop,Morning,Yes,Have you implemented encryption in your projects?
Instagram,21,Cybersecurity,High,Smartphone,Evening,Yes,What is your favorite cybersecurity framework?
LinkedIn,54,Cybersecurity,High,Tablet,Evening,No,What tools do you recommend for threat detection?
LinkedIn,58,Data Science,Low,Tablet,Morning,No,How do you clean messy datasets?
Instagram,55,Machine Learning,Medium,Desktop,Night,No,How do you handle overfitting in ML?
Facebook,31,Data Science,Low,Desktop,Evening,No,How do you deal with missing data?
Instagram,17,Machine Learning,Medium,Tablet,Evening,No,What tools do you use for ML development?
Twitter,54,Machine Learning,Medium,Desktop,Afternoon,No,Can you share a recent ML project you worked on?
Twitter,45,Cybersecurity,Medium,Desktop,Morning,Yes,What is your favorite cybersecurity framework?
LinkedIn,50,Machine Learning,Medium,Tablet,Evening,Yes,How do you handle overfitting in ML?
Twitter,42,Data Science,High,Smartphone,Afternoon,No,How do you deal with missing data?
Instagram,34,Cybersecurity,Low,Tablet,Evening,No,How do you secure APIs in applications?
Twitter,43,Machine Learning,Low,Smartphone,Night,Yes,How do you handle overfitting in ML?
YouTube,27,Cybersecurity,High,Desktop,Morning,Yes,What tools do you recommend for threat detection?
LinkedIn,40,Machine Learning,Low,Tablet,Evening,No,Have you explored reinforcement learning?
YouTube,53,Data Science,High,Tablet,Morning,No,How do you deal with missing data?
Twitter,41,Machine Learning,Medium,Tablet,Night,No,How do you handle overfitting in ML?
LinkedIn,58,Data Science,Medium,Smartphone,Night,No,What statistical methods do you prefer in Data Science?
Twitter,52,Machine Learning,Low,Smartphone,Morning,Yes,What tools do you use for ML development?
TikTok,46,Data Science,Low,Smartphone,Evening,Yes,What statistical methods do you prefer in Data Science?
Twitter,15,Cybersecurity,Medium,Smartphone,Afternoon,Yes,How do you secure APIs in applications?
Twitter,40,Data Science,Low,Smartphone,Night,Yes,How do you deal with missing data?
Facebook,55,Data Science,Low,Desktop,Night,No,How do you deal with missing data?
LinkedIn,36,Machine Learning,Medium,Tablet,Evening,No,What is your preferred ML algorithm?
Twitter,40,Data Science,High,Smartphone,Night,No,How do you clean messy datasets?
TikTok,51,Data Science,Low,Smartphone,Afternoon,No,What statistical methods do you prefer in Data Science?
