UserID,SurveyID,SurveyType,ResponseTime,ResponseDateTime,Rating,SurveyTitle,Keywords
U230,S0001,Agriculture,31,2023-12-22 11:48:50,5,Soil Health,"lose, reflect, position"
U078,S0002,Social Science,59,2024-11-19 16:02:22,5,Social Behavior,"argue, person, camera"
U234,S0003,Healthcare,10,2024-06-26 17:17:42,5,Treatment Outcomes,"forget, behind, us"
U269,S0004,Automobile,41,2024-06-21 08:00:04,5,Electric Vehicle Adoption,"something, human, traditional"
U076,S0005,Environment,16,2024-02-04 22:25:26,4,Sustainability Practices,"budget, less, stock"
U131,S0006,Automobile,44,2024-07-24 07:56:52,2,Customer Preferences,"level, this, central"
U055,S0007,Automobile,34,2024-07-18 23:01:35,1,Customer Preferences,"build, professor, late"
U080,S0008,Business/Marketing,35,2023-12-30 08:31:20,5,Product Feedback,"brother, professor, if"
U193,S0009,Healthcare,13,2024-09-29 02:22:11,4,Treatment Outcomes,"director, song, ground"
U111,S0010,Information Technology,55,2024-10-27 06:29:52,3,Cybersecurity Awareness,"have, who, blue"
U182,S0011,Automobile,60,2024-12-09 17:06:13,2,Customer Preferences,"go, during, attention"
U246,S0012,Business/Marketing,33,2023-12-17 08:10:35,2,Consumer Behavior,"more, expert, could"
U121,S0013,Information Technology,26,2024-02-29 22:06:38,5,AI Adoption,"election, apply, him"
U271,S0014,Business/Marketing,25,2024-07-26 11:39:09,4,Brand Awareness,"anything, right, clear"
U179,S0015,Education,41,2024-09-21 00:13:02,5,Student Engagement,"message, especially, well"
U251,S0016,Information Technology,30,2024-04-04 02:34:15,2,Artificial Intelligence,"dog, likely, upon"
U151,S0017,Environment,36,2024-05-05 15:15:26,5,Sustainability Practices,"condition, father, face"
U112,S0018,Automobile,53,2024-07-12 09:02:51,1,Customer Preferences,"price, later, direction"
U152,S0019,Business/Marketing,55,2024-05-16 16:25:37,3,Product Feedback,"edge, member, front"
U253,S0020,Education,31,2024-11-02 16:30:48,5,Student Engagement,"choice, professor, matter"
U066,S0021,Information Technology,36,2024-10-23 10:00:36,3,AI Adoption,"tree, suggest, bit"
U261,S0022,Information Technology,6,2024-04-15 11:57:31,2,Artificial Intelligence,"action, now, win"
U003,S0023,Automobile,8,2024-05-24 00:31:13,2,Safety Features,"meet, still, fall"
U155,S0024,Agriculture,28,2024-03-13 05:56:53,1,Soil Health,"million, lose, home"
U128,S0025,Information Technology,18,2024-04-28 20:09:52,4,Cybersecurity,"bit, ten, safe"
U224,S0026,Environment,40,2024-09-27 08:04:02,5,Renewable Energy,"president, wear, store"
U097,S0027,Agriculture,6,2024-05-18 04:52:07,4,Pest Control,"table, too, chance"
U177,S0028,Social Science,20,2024-12-08 20:37:36,5,Public Opinion,"child, oil, ready"
U142,S0029,Agriculture,37,2024-06-08 16:16:41,3,Pest Control,"final, significant, coach"
U212,S0030,Automobile,47,2024-01-29 13:42:28,1,Fuel Efficiency,"executive, miss, country"
U053,S0031,Information Technology,34,2024-05-16 19:22:48,2,Cybersecurity,"actually, lay, say"
U268,S0032,Social Science,7,2023-12-17 09:00:34,1,Social Behavior,"measure, allow, toward"
U238,S0033,Social Science,20,2024-09-08 07:50:33,2,Social Behavior,"popular, wear, fish"
U017,S0034,Information Technology,5,2024-02-18 15:25:16,4,Cybersecurity,"chair, still, organization"
U269,S0035,Automobile,33,2024-07-04 18:55:49,3,Fuel Efficiency,"information, require, bar"
U014,S0036,Automobile,16,2024-10-02 15:15:18,4,Electric Vehicle Adoption,"they, home, customer"
U235,S0037,Environment,57,2024-08-05 19:39:42,2,Sustainability Practices,"west, stand, season"
U234,S0038,Agriculture,47,2024-03-02 19:52:31,4,Crop Yield Methods,"wear, the, determine"
U056,S0039,Business/Marketing,40,2024-04-06 02:47:20,2,Market Trends,"at, low, drop"
U154,S0040,Environment,37,2024-11-22 20:04:05,5,Waste Management,"doctor, name, beyond"
U174,S0041,Business/Marketing,33,2024-03-25 22:06:29,5,Market Trends,"cost, eat, character"
U229,S0042,Agriculture,22,2024-08-30 19:42:17,5,Pest Control,"anything, reason, general"
U075,S0043,Agriculture,60,2024-08-02 17:15:32,1,Soil Health,"lose, increase, level"
U091,S0044,Education,45,2024-08-04 20:51:38,1,Learning Methods,"night, guy, listen"
U201,S0045,Agriculture,44,2024-09-18 22:59:55,1,Crop Yield Methods,"might, trade, speech"
U116,S0046,Agriculture,40,2024-06-13 19:53:06,2,Pest Control,"mission, TV, culture"
U214,S0047,Automobile,23,2024-03-19 07:39:20,2,Customer Preferences,"military, speech, view"
U217,S0048,Agriculture,11,2024-01-22 14:40:45,5,Crop Yield Methods,"from, consumer, senior"
U090,S0049,Education,27,2024-02-11 15:17:14,5,Teacher Feedback,"step, perhaps, will"
U212,S0050,Automobile,38,2024-06-11 09:18:36,5,Fuel Efficiency,"wife, night, city"
U245,S0051,Social Science,30,2024-10-02 01:07:30,3,Cultural Studies,"statement, stay, society"
U049,S0052,Agriculture,29,2024-10-14 21:06:09,1,Farming Techniques,"carry, push, turn"
U238,S0053,Education,44,2023-12-28 06:57:38,2,Student Engagement,"yes, short, past"
U005,S0054,Social Science,58,2024-01-21 07:16:38,5,Community Development,"money, exactly, assume"
U041,S0055,Information Technology,41,2024-09-28 12:38:03,5,Machine Learning,"mother, push, reduce"
U195,S0056,Social Science,59,2024-10-26 02:33:54,2,Cultural Studies,"player, morning, bag"
U162,S0057,Healthcare,25,2024-08-27 22:14:52,4,Treatment Outcomes,"TV, begin, fine"
U198,S0058,Healthcare,30,2024-11-03 04:49:03,4,Public Health Awareness,"response, skin, difference"
U051,S0059,Education,39,2024-04-23 23:13:50,2,Teacher Feedback,"important, artist, before"
U258,S0060,Automobile,30,2023-12-27 07:07:19,1,Safety Features,"black, hundred, move"
U105,S0061,Automobile,21,2024-03-04 06:49:22,3,Customer Preferences,"matter, article, standard"
U194,S0062,Healthcare,10,2024-01-16 21:45:47,5,Mental Health,"short, under, enough"
U189,S0063,Agriculture,51,2024-05-03 21:14:00,5,Soil Health,"apply, per, beyond"
U250,S0064,Education,6,2024-09-24 18:20:14,3,Student Engagement,"sister, option, knowledge"
U284,S0065,Business/Marketing,10,2024-10-15 04:31:08,1,Product Feedback,"again, blue, little"
U172,S0066,Automobile,34,2024-02-14 12:23:20,5,Electric Vehicle Adoption,"direction, prevent, kitchen"
U222,S0067,Social Science,35,2024-07-29 03:02:50,3,Cultural Studies,"nothing, event, hope"
U269,S0068,Agriculture,38,2024-07-08 14:22:19,4,Crop Yield Methods,"behavior, author, Mrs"
U283,S0069,Business/Marketing,54,2024-05-01 15:49:52,4,Market Trends,"car, yourself, six"
U199,S0070,Environment,18,2024-12-10 09:58:12,1,Waste Management,"idea, model, full"
U191,S0071,Automobile,57,2024-02-21 16:31:54,1,Safety Features,"else, two, evening"
U262,S0072,Healthcare,56,2024-03-19 07:39:48,4,Public Health Awareness,"public, foot, according"
U287,S0073,Education,17,2024-05-28 06:46:26,2,Curriculum Effectiveness,"today, address, recognize"
U089,S0074,Social Science,57,2024-10-17 20:32:33,5,Social Behavior,"skill, cover, particular"
U037,S0075,Healthcare,12,2024-04-11 15:07:43,2,Patient Satisfaction,"special, how, project"
U152,S0076,Environment,33,2024-05-16 20:04:19,5,Climate Change Impact,"recent, return, economy"
U211,S0077,Agriculture,33,2024-11-10 01:13:28,5,Crop Yield Methods,"attack, behavior, film"
U088,S0078,Healthcare,11,2024-11-19 02:45:41,4,Treatment Outcomes,"next, not, career"
U275,S0079,Information Technology,35,2024-03-22 06:12:23,5,Cybersecurity Awareness,"my, fire, still"
U274,S0080,Education,53,2024-05-09 22:09:55,4,Learning Methods,"teach, history, outside"
U132,S0081,Agriculture,20,2024-01-21 10:47:29,5,Soil Health,"writer, keep, question"
U249,S0082,Healthcare,18,2024-05-12 18:04:51,5,Treatment Outcomes,"scientist, lead, deal"
U198,S0083,Agriculture,13,2024-05-26 09:43:16,2,Farming Techniques,"plan, over, explain"
U155,S0084,Agriculture,34,2024-11-01 18:04:44,4,Soil Health,"according, of, nature"
U133,S0085,Business/Marketing,31,2024-06-22 11:37:06,1,Market Trends,"pretty, sound, best"
U021,S0086,Agriculture,9,2024-03-04 02:00:47,5,Crop Yield Methods,"ever, summer, professor"
U049,S0087,Healthcare,39,2024-04-07 05:39:59,4,Treatment Outcomes,"others, accept, challenge"
U003,S0088,Environment,14,2024-04-15 03:04:28,3,Waste Management,"name, article, pick"
U229,S0089,Business/Marketing,60,2024-03-09 11:26:07,3,Consumer Behavior,"family, difference, college"
U232,S0090,Education,26,2024-02-29 17:05:59,3,Teacher Feedback,"language, medical, design"
U214,S0091,Agriculture,56,2024-07-24 17:19:58,3,Farming Techniques,"structure, white, within"
U028,S0092,Environment,47,2024-06-13 18:57:06,2,Renewable Energy,"large, car, glass"
U056,S0093,Business/Marketing,21,2024-05-13 15:17:00,1,Product Feedback,"window, walk, tree"
U194,S0094,Healthcare,59,2024-01-26 00:34:27,4,Patient Satisfaction,"power, coach, front"
U263,S0095,Environment,47,2024-07-24 07:42:20,1,Renewable Energy,"energy, those, painting"
U020,S0096,Education,31,2024-04-25 04:52:36,1,Teacher Feedback,"leg, know, red"
U138,S0097,Healthcare,9,2024-01-16 14:09:12,4,Patient Satisfaction,"consumer, well, bar"
U040,S0098,Social Science,58,2024-10-18 01:04:27,5,Social Behavior,"hour, answer, drop"
U158,S0099,Business/Marketing,39,2024-11-02 01:49:43,5,Brand Awareness,"ground, still, among"
U196,S0100,Information Technology,15,2024-05-11 00:40:31,4,Data Science,"order, difference, pressure"
U016,S0101,Business/Marketing,41,2024-01-26 18:07:27,1,Market Trends,"data, late, itself"
U007,S0102,Healthcare,5,2024-02-28 03:36:42,2,Mental Health,"nearly, hand, remember"
U270,S0103,Environment,47,2024-09-09 02:59:18,3,Renewable Energy,"shake, in, tax"
U272,S0104,Business/Marketing,24,2024-04-01 09:04:50,2,Consumer Behavior,"relationship, line, none"
U170,S0105,Information Technology,16,2024-11-20 19:49:41,5,Data Science,"likely, lose, me"
U125,S0106,Automobile,35,2024-06-08 05:54:51,1,Safety Features,"certain, blood, speech"
U168,S0107,Healthcare,46,2024-10-02 23:13:04,4,Treatment Outcomes,"size, lead, music"
U100,S0108,Information Technology,20,2024-09-17 12:52:23,3,Software Usability,"life, factor, much"
U094,S0109,Education,50,2024-01-25 21:53:48,3,Teacher Feedback,"crime, ok, single"
U201,S0110,Healthcare,43,2024-10-15 16:53:37,5,Mental Health,"entire, national, save"
U097,S0111,Business/Marketing,16,2024-10-17 08:38:40,3,Consumer Behavior,"trial, able, able"
U057,S0112,Agriculture,13,2024-05-29 19:04:32,4,Farming Techniques,"pull, role, son"
U190,S0113,Automobile,28,2024-04-04 05:05:02,5,Safety Features,"green, natural, head"
U084,S0114,Agriculture,34,2024-09-27 20:20:37,3,Soil Health,"contain, score, finish"
U194,S0115,Agriculture,18,2024-01-17 19:51:23,4,Pest Control,"network, clearly, experience"
U134,S0116,Automobile,16,2024-06-29 16:59:18,5,Customer Preferences,"rule, once, society"
U007,S0117,Education,27,2024-11-01 13:38:20,5,Student Engagement,"well, about, purpose"
U138,S0118,Education,12,2024-02-11 04:47:46,4,Student Engagement,"care, item, wrong"
U058,S0119,Business/Marketing,22,2024-08-19 17:03:04,1,Consumer Behavior,"left, home, box"
U287,S0120,Education,49,2024-11-19 01:24:04,2,Student Engagement,"down, whose, himself"
U033,S0121,Automobile,50,2023-12-24 18:16:54,1,Electric Vehicle Adoption,"prove, wonder, relationship"
U061,S0122,Social Science,56,2024-09-09 07:30:57,2,Cultural Studies,"may, economy, blood"
U045,S0123,Environment,26,2024-06-09 22:33:04,4,Renewable Energy,"most, camera, water"
U194,S0124,Business/Marketing,14,2024-01-10 01:03:03,3,Product Feedback,"son, argue, organization"
U103,S0125,Business/Marketing,53,2024-08-06 13:40:44,3,Market Trends,"town, treatment, bag"
U068,S0126,Agriculture,9,2024-02-18 08:07:37,1,Soil Health,"strong, easy, over"
U242,S0127,Agriculture,17,2024-07-01 14:15:20,1,Crop Yield Methods,"lose, new, himself"
U189,S0128,Business/Marketing,21,2024-01-30 13:52:47,1,Market Trends,"themselves, plant, animal"
U031,S0129,Education,50,2024-07-14 00:39:50,2,Teacher Feedback,"break, side, heart"
U212,S0130,Social Science,33,2024-03-05 01:18:55,4,Community Development,"discuss, use, daughter"
U218,S0131,Business/Marketing,54,2024-10-16 12:25:11,5,Product Feedback,"late, thus, suggest"
U171,S0132,Business/Marketing,58,2024-11-17 22:37:12,4,Consumer Behavior,"pattern, full, out"
U227,S0133,Environment,17,2024-09-08 21:10:17,2,Renewable Energy,"billion, right, tough"
U093,S0134,Healthcare,29,2024-08-01 12:07:14,5,Patient Satisfaction,"gun, campaign, quality"
U089,S0135,Business/Marketing,46,2024-04-09 16:09:42,2,Consumer Behavior,"street, full, service"
U299,S0136,Social Science,45,2024-10-25 11:59:08,5,Community Development,"natural, finally, body"
U054,S0137,Healthcare,24,2024-08-06 14:58:45,2,Treatment Outcomes,"stand, without, necessary"
U122,S0138,Business/Marketing,43,2024-02-17 04:44:32,2,Consumer Behavior,"air, collection, animal"
U029,S0139,Automobile,5,2024-09-08 10:23:54,4,Customer Preferences,"admit, near, page"
U132,S0140,Automobile,14,2024-01-01 14:17:08,3,Safety Features,"property, media, magazine"
U131,S0141,Information Technology,16,2024-12-08 11:31:06,1,Machine Learning,"statement, carry, chair"
U154,S0142,Business/Marketing,52,2024-09-14 13:47:06,2,Brand Awareness,"rather, reality, every"
U178,S0143,Environment,58,2024-05-02 14:02:20,3,Renewable Energy,"old, about, majority"
U275,S0144,Automobile,34,2024-06-28 08:01:40,2,Safety Features,"particularly, high, your"
